Zone,Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Pertes,Variation de stock,Population
Afghanistan,0.54,57000000.0,0.0,29000000.0,2000000.0,0.0,37171921.0
Afrique du Sud,14.11,2118000000.0,63000000.0,514000000.0,83000000.0,0.0,57792518.0
Albanie,6.26,47000000.0,0.0,38000000.0,0.0,4000000.0,2882740.0
Algérie,1.97,277000000.0,0.0,2000000.0,13000000.0,0.0,42228408.0
Angola,3.6,319000000.0,0.0,277000000.0,2000000.0,0.0,30809787.0
Antigua-et-Barbuda,17.77,7000000.0,0.0,7000000.0,0.0,0.0,96286.0
Argentine,13.53,1962000000.0,207000000.0,8000000.0,106000000.0,0.0,44361150.0
Arménie,5.44,47000000.0,0.0,35000000.0,0.0,-2000000.0,2951745.0
Australie,16.6,1171000000.0,42000000.0,16000000.0,0.0,71000000.0,24898152.0
Autriche,7.49,173000000.0,78000000.0,110000000.0,0.0,8000000.0,8891388.0
Azerbaïdjan,4.45,129000000.0,0.0,27000000.0,0.0,2000000.0,9949537.0
Bahamas,14.61,26000000.0,0.0,24000000.0,0.0,4000000.0,385637.0
Bangladesh,0.47,250000000.0,0.0,0.0,10000000.0,0.0,161376708.0
Barbade,15.33,17000000.0,0.0,2000000.0,0.0,0.0,286641.0
Belgique,4.57,152000000.0,656000000.0,338000000.0,0.0,-6000000.0,11482178.0
Belize,8.26,19000000.0,0.0,0.0,0.0,1000000.0,383071.0
Bolivie (État plurinational de),11.43,429000000.0,1000000.0,1000000.0,27000000.0,103000000.0,11353142.0
Bosnie-Herzégovine,5.66,55000000.0,8000000.0,10000000.0,0.0,8000000.0,3323925.0
Botswana,1.19,7000000.0,0.0,3000000.0,0.0,0.0,2254068.0
Bulgarie,8.74,157000000.0,45000000.0,108000000.0,0.0,13000000.0,7051608.0
Burkina Faso,0.77,46000000.0,0.0,0.0,2000000.0,0.0,19751466.0
Bélarus,9.41,265000000.0,152000000.0,21000000.0,0.0,67000000.0,9452617.0
Bénin,4.98,161000000.0,0.0,123000000.0,0.0,-20000000.0,11485044.0
Cabo Verde,6.52,10000000.0,0.0,12000000.0,0.0,4000000.0,543767.0
Cambodge,0.74,38000000.0,0.0,10000000.0,1000000.0,0.0,16249792.0
Cameroun,1.07,82000000.0,0.0,0.0,4000000.0,0.0,25216267.0
Canada,13.86,1433000000.0,163000000.0,182000000.0,0.0,3000000.0,37074562.0
Chili,12.21,672000000.0,115000000.0,155000000.0,0.0,80000000.0,18729160.0
Chine - RAS de Macao,11.9,19000000.0,0.0,23000000.0,0.0,8000000.0,631636.0
"Chine, Taiwan Province de",11.01,785000000.0,8000000.0,161000000.0,0.0,20000000.0,23726460.0
Chypre,9.58,38000000.0,1000000.0,14000000.0,1000000.0,0.0,1189265.0
Colombie,9.57,1643000000.0,2000000.0,78000000.0,78000000.0,-4000000.0,49661048.0
Congo,7.45,110000000.0,0.0,104000000.0,0.0,0.0,5244359.0
Costa Rica,7.93,134000000.0,3000000.0,17000000.0,0.0,13000000.0,4999441.0
Croatie,4.06,45000000.0,17000000.0,24000000.0,0.0,22000000.0,4156404.9999999995
Cuba,7.12,342000000.0,0.0,312000000.0,0.0,-1000000.0,11338134.0
Côte d'Ivoire,0.86,65000000.0,0.0,7000000.0,3000000.0,0.0,25069230.0
Danemark,12.97,167000000.0,139000000.0,133000000.0,0.0,0.0,5752126.0
Djibouti,0.92,3000000.0,0.0,3000000.0,0.0,0.0,958923.0
Dominique,11.52,4000000.0,0.0,4000000.0,0.0,0.0,71625.0
El Salvador,6.25,131000000.0,2000000.0,16000000.0,0.0,20000000.0,6420746.0
Espagne,12.47,1497000000.0,212000000.0,205000000.0,66000000.0,11000000.0,46692858.0
Estonie,7.27,29000000.0,11000000.0,21000000.0,1000000.0,2000000.0,1322920.0
Eswatini,2.23,7000000.0,0.0,2000000.0,0.0,0.0,1136281.0
Fidji,9.44,26000000.0,0.0,3000000.0,0.0,1000000.0,883483.0
Finlande,7.87,111000000.0,12000000.0,16000000.0,0.0,22000000.0,5522576.0
